地区,国家,确诊,疑似,治愈,死亡,日期
河北省,中国,1,,0,0,2020-01-22
广东省,中国,26,,0,0,2020-01-22
江西省,中国,2,,0,0,2020-01-22
河南省,中国,5,,0,0,2020-01-22
浙江省,中国,10,,0,0,2020-01-22
辽宁省,中国,2,,0,0,2020-01-22
福建省,中国,1,,0,0,2020-01-22
北京市,中国,10,,0,0,2020-01-22
湖北省,中国,375,,25,9,2020-01-22
山东省,中国,2,,0,0,2020-01-22
澳门,中国,1,,0,0,2020-01-22
上海市,中国,9,,0,0,2020-01-22
重庆市,中国,6,,0,0,2020-01-22
香港,中国,0,,0,0,2020-01-22
台湾,中国,1,,0,0,2020-01-22
黑龙江省,中国,0,,0,0,2020-01-22
四川省,中国,5,,0,0,2020-01-22
广西壮族自治区,中国,2,,0,0,2020-01-22
天津市,中国,4,,0,0,2020-01-22
贵州省,中国,1,,0,0,2020-01-22
云南省,中国,1,,0,0,2020-01-22
海南省,中国,4,,0,0,2020-01-22
宁夏回族自治区,中国,1,,0,0,2020-01-22
湖南省,中国,4,,0,0,2020-01-22
山西省,中国,1,,0,0,2020-01-22
吉林省,中国,0,,0,0,2020-01-22
安徽省,中国,1,,0,0,2020-01-22
江苏省,中国,5,,0,0,2020-01-23
广东省,中国,32,,2,0,2020-01-23
江西省,中国,3,,0,0,2020-01-23
浙江省,中国,27,,0,0,2020-01-23
辽宁省,中国,3,,0,0,2020-01-23
福建省,中国,5,,0,0,2020-01-23
北京市,中国,22,,0,0,2020-01-23
山东省,中国,6,,0,0,2020-01-23
澳门,中国,2,,0,0,2020-01-23
上海市,中国,16,,0,0,2020-01-23
蒙古,中国,0,,0,0,2020-01-23
甘肃省,中国,2,,0,0,2020-01-23
重庆市,中国,9,,0,0,2020-01-23
香港,中国,2,,0,0,2020-01-23
黑龙江省,中国,2,,0,0,2020-01-23
四川省,中国,8,,0,0,2020-01-23
陕西省,中国,3,,0,0,2020-01-23
广西壮族自治区,中国,5,,0,0,2020-01-23
内蒙古自治区,中国,0,,0,0,2020-01-23
